iter	RMSE
0	3.050210565
1	2.940773369
2	2.847375989
3	2.763322933
4	2.689588302
5	2.624309349
6	2.5717336
7	2.52286285
8	2.482224285
9	2.444510863
10	2.412440389
11	2.385535275
12	2.363121032
13	2.341787731
14	2.323511856
15	2.30602833
16	2.29037651
17	2.277960418
18	2.268245189
19	2.255460003
20	2.245188606
21	2.237153078
22	2.227654827
23	2.220602211
24	2.211967333
25	2.204892258
26	2.19940831
27	2.193619563
28	2.188689633
29	2.184435698
30	2.180630762
31	2.17679284
32	2.171106356
33	2.167975232
34	2.16541342
35	2.159422035
36	2.155990962
37	2.152815567
38	2.148053053
39	2.145509562
40	2.143798171
41	2.141323414
42	2.138550732
43	2.135904411
44	2.133093011
45	2.131170197
46	2.128769828
47	2.125435486
48	2.124559399
49	2.121970703
50	2.119467
51	2.117880097
52	2.114543143
53	2.112229672
54	2.110860199
55	2.108703982
56	2.107956225
57	2.107098918
58	2.104887129
59	2.103178022
60	2.101767176
61	2.100713408
62	2.098952192
63	2.098198942
64	2.096703873
65	2.095118871
66	2.093527557
67	2.092876241
68	2.09195085
69	2.090895984
70	2.089845447
71	2.089505694
72	2.088223524
73	2.087310069
74	2.08606998
75	2.085033566
76	2.084181354
77	2.083184238
78	2.08237976
79	2.08137717
80	2.080187804
81	2.079293066
82	2.078291446
83	2.077407993
84	2.076668799
85	2.076424248
86	2.0757548
87	2.075191943
88	2.075114417
89	2.074499182
90	2.073830951
91	2.07322005
92	2.07247572
93	2.071858784
94	2.071404366
95	2.070745989
96	2.070368718
97	2.069932701
98	2.069759218
99	2.069341545
100	2.069005617
101	2.06895046
102	2.068304888
103	2.06778504
104	2.067132862
105	2.066561568
106	2.066197011
107	2.065436304
108	2.064654372
109	2.064001647
110	2.063579845
111	2.063108219
112	2.06270541
113	2.062354591
114	2.061683533
115	2.061495307
116	2.061016459
117	2.060711366
118	2.060467989
119	2.060421673
120	2.060077251
121	2.059908737
122	2.059702041
123	2.05904047
124	2.05858115
125	2.058422684
126	2.057936471
127	2.057878153
128	2.057745237
129	2.057596679
