iter	Passed	Remaining
0	103	103234
1	147	73432
2	239	79468
3	445	110843
4	661	131640
5	734	121749
6	842	119569
7	1011	125471
8	1049	115569
9	1085	107449
10	1131	101756
11	1166	96063
12	1199	91085
13	1240	87333
14	1275	83774
15	1314	80866
16	1342	77639
17	1370	74751
18	1406	72595
19	1446	70855
20	1499	69882
21	1531	68090
22	1567	66595
23	1607	65377
24	1655	64548
25	1699	63655
26	1743	62833
27	1789	62132
28	1826	61140
29	1851	59873
30	1880	58792
31	1905	57644
32	1927	56469
33	1950	55410
34	1972	54383
35	1996	53459
36	2020	52578
37	2043	51731
38	2070	51020
39	2092	50228
40	2115	49479
41	2141	48837
42	2163	48148
43	2189	47565
44	2225	47228
45	2287	47437
46	2421	49096
47	2508	49753
48	2579	50068
49	2662	50584
50	2804	52186
51	2929	53407
52	2988	53402
53	3041	53274
54	3104	53346
55	3158	53244
56	3214	53172
57	3285	53362
58	3332	53151
59	3375	52885
60	3432	52831
61	3474	52571
62	3527	52458
63	3555	52004
64	3591	51661
65	3655	51732
66	3692	51425
67	3739	51246
68	3785	51080
69	3841	51040
70	3877	50734
71	3904	50329
72	3931	49926
73	3958	49536
74	3980	49088
75	4010	48754
76	4034	48358
77	4056	47952
78	4088	47660
79	4110	47269
80	4131	46876
81	4154	46507
82	4184	46230
83	4209	45898
84	4233	45568
85	4256	45237
86	4276	44878
87	4299	44555
88	4320	44226
89	4341	43900
90	4369	43645
91	4391	43341
92	4416	43073
93	4441	42810
94	4463	42517
95	4483	42216
96	4505	41939
97	4527	41674
98	4550	41418
99	4572	41153
100	4597	40921
101	4620	40682
102	4643	40440
103	4667	40211
104	4691	39988
105	4715	39766
106	4738	39549
107	4760	39314
108	4782	39090
109	4805	38883
110	4830	38684
111	4852	38471
112	4874	38264
113	4898	38069
114	4921	37874
115	4941	37658
116	4965	37473
117	4985	37262
118	5009	37087
119	5035	36929
120	5061	36772
121	5083	36584
122	5105	36402
123	5128	36231
124	5149	36049
125	5170	35864
126	5193	35698
127	5216	35535
128	5239	35379
129	5260	35205
130	5280	35029
131	5301	34862
132	5322	34693
133	5357	34625
134	5380	34473
135	5401	34318
136	5425	34178
137	5449	34037
138	5471	33889
139	5494	33752
140	5516	33609
141	5539	33473
142	5561	33330
143	5583	33192
144	5604	33045
145	5626	32910
146	5655	32819
147	5677	32683
148	5698	32545
149	5722	32430
150	5744	32300
