iter	RMSE
0	3.065097937
1	2.971439952
2	2.882595437
3	2.805551632
4	2.736900672
5	2.678235017
6	2.622126126
7	2.573364052
8	2.529667303
9	2.493210273
10	2.458467892
11	2.425776083
12	2.398764818
13	2.37321227
14	2.351946486
15	2.33174349
16	2.311575644
17	2.294413567
18	2.280340711
19	2.266083261
20	2.255198219
21	2.243345157
22	2.233425969
23	2.223515499
24	2.214247581
25	2.206606443
26	2.200516089
27	2.193580175
28	2.187452261
29	2.181719558
30	2.17642243
31	2.171985196
32	2.16685436
33	2.161966451
34	2.158130268
35	2.155388086
36	2.152384453
37	2.149003889
38	2.145750282
39	2.1432531
40	2.140693082
41	2.13746771
42	2.134687655
43	2.132512416
44	2.131067072
45	2.128735286
46	2.126817476
47	2.124446862
48	2.122943032
49	2.121057857
50	2.119448549
51	2.118056154
52	2.116414939
53	2.115053376
54	2.114117357
55	2.113121325
56	2.111771478
57	2.110454644
58	2.109403808
59	2.108349133
60	2.106558646
61	2.104778606
62	2.103571737
63	2.102815893
64	2.101975967
65	2.100753443
66	2.100046413
67	2.099381827
68	2.098343436
69	2.097159165
70	2.096317026
71	2.095881625
72	2.094947873
73	2.093571261
74	2.092500142
75	2.092010108
76	2.091377711
77	2.09049009
78	2.089574925
79	2.088760549
80	2.088017937
81	2.086798892
82	2.085940207
83	2.085426952
84	2.084748995
85	2.084250474
86	2.083286518
87	2.083001905
88	2.082510166
89	2.082003908
90	2.081397541
91	2.080810111
92	2.080053027
93	2.079331164
94	2.078983362
95	2.078165069
96	2.077543384
97	2.077014193
98	2.076524826
99	2.076132495
100	2.075879093
101	2.075746832
102	2.07508049
103	2.074514155
104	2.073859422
105	2.073511267
106	2.073032761
107	2.072487697
108	2.072014001
109	2.071643911
110	2.071400603
111	2.070807309
112	2.070414246
113	2.07007959
114	2.069832764
115	2.069775807
116	2.069019541
117	2.068630409
118	2.068098017
119	2.067538185
120	2.06714344
121	2.066738831
122	2.066259709
123	2.065774589
124	2.065234299
125	2.06497714
126	2.064387784
127	2.064330489
128	2.064026758
129	2.063529926
130	2.063116305
131	2.062754571
132	2.062279668
133	2.061891081
134	2.06158859
135	2.061263902
136	2.06100875
137	2.060883854
138	2.060397231
139	2.059846111
140	2.059426802
141	2.058846128
142	2.058306395
143	2.057984144
144	2.057795568
145	2.057271381
146	2.056807269
147	2.056173824
148	2.055808952
149	2.05543614
150	2.054913026
151	2.054811849
152	2.054364083
153	2.053624978
154	2.053080737
155	2.052790829
156	2.052312672
157	2.05193096
158	2.051477158
159	2.050913833
160	2.050859568
161	2.050633882
162	2.050369321
163	2.049782917
164	2.049532015
165	2.049212862
166	2.049098995
167	2.048499998
168	2.047992857
169	2.047582887
170	2.047137763
171	2.046810403
172	2.046726139
173	2.046238521
174	2.04572507
175	2.045210041
176	2.044875497
177	2.044517355
178	2.044179654
179	2.043829692
180	2.043710625
181	2.043370259
182	2.042873359
183	2.04257376
184	2.042477837
185	2.042277967
186	2.041816769
187	2.041617402
188	2.041171404
189	2.040642892
