iter	Passed	Remaining
0	89	89282
1	122	61198
2	156	52034
3	187	46668
4	235	46949
5	276	45738
6	313	44475
7	340	42274
8	368	40587
9	400	39630
10	441	39678
11	475	39120
12	511	38828
13	537	37840
14	560	36804
15	582	35829
16	611	35333
17	649	35461
18	679	35089
19	712	34892
20	750	34974
21	790	35162
22	827	35166
23	901	36650
24	938	36593
25	997	37377
26	1030	37123
27	1076	37353
28	1110	37178
29	1148	37148
30	1190	37222
31	1234	37329
32	1268	37159
33	1365	38792
34	1412	38948
35	1468	39319
36	1516	39477
37	1563	39589
38	1610	39674
39	1643	39435
40	1668	39031
41	1701	38812
42	1741	38763
43	1770	38459
44	1796	38130
45	1842	38210
46	1878	38089
47	1973	39146
48	2024	39298
49	2093	39771
50	2161	40229
51	2240	40841
52	2325	41558
53	2393	41927
54	2541	43670
55	2589	43646
56	2701	44688
57	2788	45289
58	2918	46542
59	3055	47867
60	3120	48037
61	3148	47631
62	3190	47448
63	3222	47127
64	3260	46894
65	3310	46845
66	3339	46507
67	3367	46158
68	3405	45949
69	3442	45735
70	3482	45566
71	3516	45324
72	3554	45135
73	3578	44773
74	3606	44475
75	3630	44134
76	3651	43772
77	3687	43589
78	3728	43465
79	3753	43167
80	3773	42816
81	3801	42553
82	3835	42379
83	3858	42076
84	3879	41764
85	3910	41560
86	3946	41415
87	3970	41152
88	3998	40933
89	4036	40813
90	4063	40589
91	4098	40452
92	4137	40353
93	4170	40201
94	4207	40078
95	4254	40067
96	4286	39906
97	4317	39735
98	4358	39662
99	4396	39570
100	4419	39336
101	4449	39176
102	4479	39014
103	4515	38900
104	4564	38904
105	4604	38837
106	4637	38702
107	4676	38621
108	4702	38438
109	4731	38284
110	4760	38124
111	4812	38153
112	4849	38063
113	4876	37902
114	4905	37749
115	4925	37532
116	4947	37336
117	4999	37372
118	5036	37289
119	5071	37190
120	5112	37143
121	5143	37016
122	5177	36917
123	5227	36926
124	5296	37072
125	5357	37163
126	5392	37070
127	5438	37049
128	5483	37024
129	5537	37056
130	5586	37058
131	5626	36998
132	5658	36889
133	5699	36832
134	5743	36803
135	5785	36755
136	5812	36611
137	5849	36536
138	5889	36478
139	5938	36478
140	5974	36395
141	6007	36301
142	6042	36211
143	6071	36092
144	6100	35971
145	6146	35953
146	6184	35887
147	6216	35788
148	6245	35669
149	6334	35897
150	6482	36448
151	6544	36513
152	6604	36561
153	6656	36567
154	6691	36478
155	6712	36315
156	6737	36178
157	6805	36266
158	6830	36129
159	6853	35982
160	6879	35848
161	6911	35752
162	6936	35617
163	6979	35578
164	7010	35478
165	7035	35349
166	7055	35194
167	7085	35092
168	7132	35071
169	7164	34978
170	7192	34869
171	7231	34811
172	7254	34679
173	7281	34567
174	7304	34433
175	7333	34334
176	7357	34209
177	7392	34136
178	7421	34040
179	7452	33951
180	7474	33820
181	7498	33703
182	7522	33586
183	7549	33481
184	7581	33399
185	7607	33290
186	7654	33277
187	7684	33189
188	7714	33102
189	7752	33048
190	7789	32994
191	7822	32921
192	7849	32823
193	7873	32711
194	7910	32657
195	7991	32779
196	8030	32732
197	8063	32660
198	8112	32653
199	8140	32560
200	8168	32470
201	8210	32434
202	8235	32334
203	8336	32528
204	8363	32433
205	8403	32390
206	8437	32321
207	8521	32448
208	8607	32577
209	8726	32829
210	8772	32803
211	8827	32811
212	8883	32823
213	8968	32939
214	9017	32923
215	9047	32839
216	9183	33135
217	9236	33132
218	9281	33101
219	9319	33043
220	9390	33099
221	9437	33072
222	9514	33151
223	9555	33101
224	9587	33022
225	9624	32961
226	9669	32928
227	9710	32878
228	9744	32808
229	9773	32720
230	9841	32763
231	9879	32703
232	9916	32644
233	9939	32536
234	9965	32440
235	9985	32327
236	10006	32214
237	10036	32133
238	10064	32047
239	10128	32072
240	10206	32142
241	10277	32190
242	10342	32219
243	10387	32184
244	10432	32148
245	10471	32094
246	10522	32078
247	10558	32015
248	10577	31903
249	10602	31806
250	10629	31717
251	10649	31610
252	10677	31525
253	10718	31481
254	10750	31406
255	10783	31339
256	10811	31257
257	10836	31165
258	10859	31068
259	10883	30975
260	10903	30873
261	10934	30798
262	10978	30765
263	11017	30716
264	11050	30648
265	11101	30634
266	11132	30563
267	11174	30520
268	11221	30494
269	11251	30419
270	11275	30330
271	11303	30253
272	11323	30153
273	11358	30095
274	11384	30012
275	11417	29950
276	11444	29871
277	11464	29774
278	11487	29687
279	11517	29616
280	11542	29535
281	11570	29460
282	11601	29393
283	11645	29360
284	11671	29281
285	11695	29197
286	11719	29115
287	11744	29036
288	11776	28972
289	11803	28899
290	11841	28850
291	11883	28813
292	11908	28733
293	11943	28681
294	11976	28620
295	12044	28646
296	12090	28618
297	12121	28554
298	12148	28481
299	12178	28416
300	12223	28386
301	12278	28377
302	12303	28302
303	12325	28219
304	12344	28128
305	12369	28054
306	12405	28002
307	12431	27931
308	12472	27891
309	12496	27814
310	12520	27737
311	12542	27657
312	12572	27594
313	12604	27537
314	12645	27498
315	12690	27468
316	12718	27403
317	12751	27348
318	12782	27287
319	12808	27217
320	12843	27167
321	12871	27101
322	12897	27032
323	12925	26967
324	13019	27041
325	13092	27069
326	13170	27106
327	13216	27077
328	13251	27025
329	13295	26994
330	13340	26964
331	13385	26931
332	13431	26903
333	13475	26870
334	13533	26864
335	13575	26827
336	13635	26826
337	13689	26812
338	13730	26771
339	13776	26743
340	13807	26683
341	13834	26617
342	13892	26611
343	13944	26592
344	14003	26586
345	14036	26531
346	14074	26485
347	14119	26453
348	14179	26449
349	14240	26447
350	14283	26409
351	14348	26414
352	14466	26514
353	14533	26521
354	14641	26602
355	14698	26589
356	14728	26528
357	14770	26488
358	14795	26418
359	14821	26349
360	14849	26284
361	14878	26222
362	14921	26185
363	14957	26133
364	14990	26079
365	15014	26007
366	15054	25965
367	15088	25912
368	15126	25866
369	15176	25840
370	15213	25793
371	15246	25738
372	15301	25721
373	15340	25676
374	15394	25658
375	15449	25640
376	15516	25640
377	15575	25628
378	15627	25605
379	15659	25549
380	15692	25494
381	15730	25448
382	15773	25410
383	15807	25358
384	15847	25315
